Designator,Mid X,Mid Y,Rotation,Layer
C1,179.7908,-81.3816,0.0,top
C2,181.8708,-81.3816,0.0,top
C3,185.928,-89.421,90.0,top
C4,183.5658,-80.9316,270.0,top
C5,176.1236,-84.151,90.0,top
D1,132.53068,-80.0776,270.0,top
D10,148.85068,-81.5546,270.0,top
D11,150.85068,-80.7926,270.0,top
D12,152.85068,-80.077601,270.0,top
D13,163.01068,-80.0776,270.0,top
D14,161.01068,-80.7926,270.0,top
D15,159.01068,-81.5546,270.0,top
D16,157.01068,-82.3166,270.0,top
D18,193.646901,-78.477421,225.0,top
D19,197.206995,-78.477421,225.0,top
D2,130.53068,-80.7926,270.0,top
D20,200.758901,-78.477421,225.0,top
D21,204.297689,-78.477421,225.0,top
D22,204.297689,-82.033421,45.0,top
D23,200.758901,-82.033421,45.0,top
D24,197.206995,-82.033421,45.0,top
D25,193.646901,-82.033421,45.0,top
D26,193.646901,-85.589421,225.0,top
D27,197.206995,-85.589421,225.0,top
D28,200.758901,-85.589421,225.0,top
D29,204.297689,-85.589421,225.0,top
D3,128.53068,-81.5546,270.0,top
D30,204.297689,-89.145421,45.0,top
D31,200.758901,-89.145421,45.0,top
D32,197.206995,-89.145421,45.0,top
D33,193.646901,-89.145421,45.0,top
D4,126.53068,-82.3166,270.0,top
D5,136.69068,-82.3166,270.0,top
D6,138.69068,-81.5546,270.0,top
D7,140.69068,-80.7926,270.0,top
D8,142.69068,-80.0776,270.0,top
D9,146.85068,-82.3166,270.0,top
J1,175.5768,-78.687201,0.0,top
J2,169.090401,-77.964333,180.0,top
R1,176.8348,-79.042203,270.0,top
SW1,129.529,-91.140003,0.0,top
SW10,139.7,-111.409,0.0,top
SW11,149.86,-111.460003,0.0,top
SW12,160.02,-111.460003,0.0,top
SW13,129.54,-121.620003,0.0,top
SW14,139.7,-121.620003,0.0,top
SW15,149.86,-121.620003,0.0,top
SW16,160.02,-121.620003,0.0,top
SW2,139.7,-91.140003,0.0,top
SW3,149.86,-91.140003,0.0,top
SW4,160.02,-91.140003,0.0,top
SW5,129.54,-101.300003,0.0,top
SW6,139.7,-101.300003,0.0,top
SW7,149.86,-101.300003,0.0,top
SW8,160.02,-101.300003,0.0,top
SW9,129.54,-111.409,0.0,top
U2,169.090401,-84.187333,180.0,top
U3,181.0408,-86.786,270.0,top
Y1,180.8308,-78.994,180.0,top
